"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ALL","All regions","AUT","Austria","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"ALL","All regions","AUT","Austria","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","AUT","Austria","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","AUT","Austria","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",34.4,,
"EUR","Europe","BEL","Belgium","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",32,,
"EUR","Europe","BEL","Belgium","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","BEL","Belgium","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",24,,
"EUR","Europe","BEL","Belgium","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","BEL","Belgium","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","BEL","Belgium","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38,,
"ALL","All regions","BEL","Belgium","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",32,,
"ALL","All regions","BEL","Belgium","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","BEL","Belgium","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",24,,
"ALL","All regions","BEL","Belgium","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","BEL","Belgium","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","BEL","Belgium","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38,,
"AME","Americas","CAN","Canada","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",27.7,,
"AME","Americas","CAN","Canada","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"AME","Americas","CAN","Canada","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",1.9,,
"AME","Americas","CAN","Canada","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"AME","Americas","CAN","Canada","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"AME","Americas","CAN","Canada","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",27,,
"ALL","All regions","CAN","Canada","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",27.7,,
"ALL","All regions","CAN","Canada","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","CAN","Canada","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",1.9,,
"ALL","All regions","CAN","Canada","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","CAN","Canada","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","CAN","Canada","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",27,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",32.5,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","DF_DV_LAW","Law","2019","2019",0.25,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",21,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0.25,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",32.5,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","DF_DV_LAW","Law","2019","2019",0.25,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",21,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0.25,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22,,
"EUR","Europe","DNK","Denmark","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",22.1,,
"EUR","Europe","DNK","Denmark","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","DNK","Denmark","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",32,,
"EUR","Europe","DNK","Denmark","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","DNK","Denmark","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","DNK","Denmark","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",37.4,,
"ALL","All regions","DNK","Denmark","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",22.1,,
"ALL","All regions","DNK","Denmark","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","DNK","Denmark","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",32,,
"ALL","All regions","DNK","Denmark","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","DNK","Denmark","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","DNK","Denmark","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",37.4,,
"EUR","Europe","FIN","Finland","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",21.1,,
"EUR","Europe","FIN","Finland","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","FIN","Finland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",30,,
"EUR","Europe","FIN","Finland","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.25,,
"EUR","Europe","FIN","Finland","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","FIN","Finland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",42,,
"ALL","All regions","FIN","Finland","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",21.1,,
"ALL","All regions","FIN","Finland","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","FIN","Finland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",30,,
"ALL","All regions","FIN","Finland","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.25,,
"ALL","All regions","FIN","Finland","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","FIN","Finland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",42,,
"EUR","Europe","FRA","France","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",34.7,,
"EUR","Europe","FRA","France","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","FRA","France","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",26,,
"EUR","Europe","FRA","France","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","FRA","France","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","FRA","France","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",39,,
"ALL","All regions","FRA","France","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",34.7,,
"ALL","All regions","FRA","France","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","FRA","France","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",26,,
"ALL","All regions","FRA","France","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","FRA","France","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","FRA","France","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",39,,
"EUR","Europe","DEU","Germany","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",31.7,,
"EUR","Europe","DEU","Germany","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","DEU","Germany","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22,,
"EUR","Europe","DEU","Germany","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","DEU","Germany","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","DEU","Germany","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",30.7,,
"ALL","All regions","DEU","Germany","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",31.7,,
"ALL","All regions","DEU","Germany","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","DEU","Germany","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22,,
"ALL","All regions","DEU","Germany","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","DEU","Germany","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","DEU","Germany","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",30.7,,
"EUR","Europe","GRC","Greece","HIN","High income","DF_DV_LAW","Law","2019","2019",0.5,,
"EUR","Europe","GRC","Greece","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"EUR","Europe","GRC","Greece","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","GRC","Greece","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","GRC","Greece","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",18.3,,
"ALL","All regions","GRC","Greece","HIN","High income","DF_DV_LAW","Law","2019","2019",0.5,,
"ALL","All regions","GRC","Greece","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"ALL","All regions","GRC","Greece","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","GRC","Greece","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","GRC","Greece","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",18.3,,
"EUR","Europe","HUN","Hungary","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",50.9,,
"EUR","Europe","HUN","Hungary","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","HUN","Hungary","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",21,,
"EUR","Europe","HUN","Hungary","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.25,,
"EUR","Europe","HUN","Hungary","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","HUN","Hungary","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",10.1,,
"ALL","All regions","HUN","Hungary","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",50.9,,
"ALL","All regions","HUN","Hungary","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","HUN","Hungary","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",21,,
"ALL","All regions","HUN","Hungary","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.25,,
"ALL","All regions","HUN","Hungary","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","HUN","Hungary","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",10.1,,
"EUR","Europe","ISL","Iceland","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",13,,
"EUR","Europe","ISL","Iceland","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","ISL","Iceland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22.4,,
"EUR","Europe","ISL","Iceland","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.25,,
"EUR","Europe","ISL","Iceland","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","ISL","Iceland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.1,,
"ALL","All regions","ISL","Iceland","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",13,,
"ALL","All regions","ISL","Iceland","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","ISL","Iceland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22.4,,
"ALL","All regions","ISL","Iceland","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.25,,
"ALL","All regions","ISL","Iceland","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","ISL","Iceland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.1,,
"EUR","Europe","IRL","Ireland","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",26,,
"EUR","Europe","IRL","Ireland","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","IRL","Ireland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15,,
"EUR","Europe","IRL","Ireland","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.75,,
"EUR","Europe","IRL","Ireland","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","IRL","Ireland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22.2,,
"ALL","All regions","IRL","Ireland","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",26,,
"ALL","All regions","IRL","Ireland","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","IRL","Ireland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15,,
"ALL","All regions","IRL","Ireland","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.75,,
"ALL","All regions","IRL","Ireland","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","IRL","Ireland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22.2,,
"EUR","Europe","ITA","Italy","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","ITA","Italy","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"EUR","Europe","ITA","Italy","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","ITA","Italy","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0.25,,
"EUR","Europe","ITA","Italy","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",31,,
"ALL","All regions","ITA","Italy","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","ITA","Italy","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"ALL","All regions","ITA","Italy","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","ITA","Italy","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0.25,,
"ALL","All regions","ITA","Italy","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",31,,
"ASI","Asia","JPN","Japan","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",15.3,,
"ASI","Asia","JPN","Japan","HIN","High income","DF_DV_LAW","Law","2019","2019",0.25,,
"ASI","Asia","JPN","Japan","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15.4,,
"ASI","Asia","JPN","Japan","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.5,,
"ASI","Asia","JPN","Japan","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0.25,,
"ASI","Asia","JPN","Japan","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",10.1,,
"ALL","All regions","JPN","Japan","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",15.3,,
"ALL","All regions","JPN","Japan","HIN","High income","DF_DV_LAW","Law","2019","2019",0.25,,
"ALL","All regions","JPN","Japan","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",15.4,,
"ALL","All regions","JPN","Japan","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.5,,
"ALL","All regions","JPN","Japan","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0.25,,
"ALL","All regions","JPN","Japan","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",10.1,,
"ASI","Asia","KOR","Korea","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",55.2,,
"ASI","Asia","KOR","Korea","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ASI","Asia","KOR","Korea","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",16.5,,
"ASI","Asia","KOR","Korea","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.5,,
"ASI","Asia","KOR","Korea","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ASI","Asia","KOR","Korea","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",17,,
"ALL","All regions","KOR","Korea","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",55.2,,
"ALL","All regions","KOR","Korea","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","KOR","Korea","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",16.5,,
"ALL","All regions","KOR","Korea","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.5,,
"ALL","All regions","KOR","Korea","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","KOR","Korea","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",17,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","LUX","Luxembourg","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28.3,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",22,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","LUX","Luxembourg","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28.3,,
"EUR","Europe","NLD","Netherlands","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",14.9,,
"EUR","Europe","NLD","Netherlands","HIN","High income","DF_DV_LAW","Law","2019","2019",0.25,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",25,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","NLD","Netherlands","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",36,,
"ALL","All regions","NLD","Netherlands","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",14.9,,
"ALL","All regions","NLD","Netherlands","HIN","High income","DF_DV_LAW","Law","2019","2019",0.25,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",25,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","NLD","Netherlands","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",36,,
"ASI","Asia","NZL","New Zealand","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",21.4,,
"ASI","Asia","NZL","New Zealand","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",35,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.25,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ASI","Asia","NZL","New Zealand","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.3,,
"ALL","All regions","NZL","New Zealand","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",21.4,,
"ALL","All regions","NZL","New Zealand","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",35,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.25,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","NZL","New Zealand","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38.3,,
"EUR","Europe","NOR","Norway","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",15.2,,
"EUR","Europe","NOR","Norway","HIN","High income","DF_DV_LAW","Law","2019","2019",0.25,,
"EUR","Europe","NOR","Norway","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",27,,
"EUR","Europe","NOR","Norway","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","NOR","Norway","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","NOR","Norway","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",41.4,,
"ALL","All regions","NOR","Norway","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",15.2,,
"ALL","All regions","NOR","Norway","HIN","High income","DF_DV_LAW","Law","2019","2019",0.25,,
"ALL","All regions","NOR","Norway","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",27,,
"ALL","All regions","NOR","Norway","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","NOR","Norway","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","NOR","Norway","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",41.4,,
"EUR","Europe","POL","Poland","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",58.7,,
"EUR","Europe","POL","Poland","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","POL","Poland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"EUR","Europe","POL","Poland","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.5,,
"EUR","Europe","POL","Poland","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","POL","Poland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28,,
"ALL","All regions","POL","Poland","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",58.7,,
"ALL","All regions","POL","Poland","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","POL","Poland","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",13,,
"ALL","All regions","POL","Poland","HIN","High income","RPI_RA_LAW","Law","2019","2019",0.5,,
"ALL","All regions","POL","Poland","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","POL","Poland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28,,
"EUR","Europe","PRT","Portugal","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",57.3,,
"EUR","Europe","PRT","Portugal","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","PRT","Portugal","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"EUR","Europe","PRT","Portugal","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","PRT","Portugal","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","PRT","Portugal","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",34.8,,
"ALL","All regions","PRT","Portugal","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",57.3,,
"ALL","All regions","PRT","Portugal","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","PRT","Portugal","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",19,,
"ALL","All regions","PRT","Portugal","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","PRT","Portugal","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","PRT","Portugal","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",34.8,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",33.4,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",23,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"EUR","Europe","SVK","Slovak Republic","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",20,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",33.4,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","DF_DV_LAW","Law","2019","2019",0,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RPI_VAW_PRACT","Practice","2019","2019",23,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RPI_RA_LAW","Law","2019","2019",0,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RAPFR_SAFS_LAW","Law","2019","2019",0,,
"ALL","All regions","SVK","Slovak Republic","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",20,,
"EUR","Europe","ESP","Spain","HIN","High income","DF_HR_ATT","Attitudes","2019","2019",27.4,,
