COU,Country,IND,Indicator,SEX,Sex,AGE,Age Group,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
EST,Estonia,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,32.3,,
IND,India,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,12.4,,
IDN,Indonesia,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,26.9,,
ISR,Israel,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,31.9,,
LVA,Latvia,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,43.5,,
LTU,Lithuania,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,38.4,,
RUS,Russia,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,41.4,,
SVN,Slovenia,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,37.1,,
ZAF,South Africa,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,30.7,,
OAVG,OECD - Average,EMP10NEW,Share of female managers,WOMEN,Women,TOTAL,Total,2014,2014,PC,Percentage,0,Units,,,31.3,,
AUS,Australia,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,15.4,,
AUT,Austria,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,17.7,,
BEL,Belgium,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,3.3,,
CAN,Canada,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,19.2,,
CZE,Czech Republic,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,16.3,,
DNK,Denmark,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,6.3,,
FIN,Finland,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,19.6,,
FRA,France,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,13.2,,
DEU,Germany,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,17.2,,
GRC,Greece,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,9.1,,
HUN,Hungary,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,3.8,,
ISL,Iceland,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,13.6,,
IRL,Ireland,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,10.6,,
ITA,Italy,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,5.6,,
JPN,Japan,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,25.9,,
KOR,Korea,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,36.7,,
LUX,Luxembourg,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,3.4,,
MEX,Mexico,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,18.3,,
NLD,Netherlands,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,14.1,,
NZL,New Zealand,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,6.1,,
NOR,Norway,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,6.6,,
POL,Poland,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,11.1,,
PRT,Portugal,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,18.9,,
SVK,Slovak Republic,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,14.4,,
ESP,Spain,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,11.5,,
SWE,Sweden,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,9.2,,
CHE,Switzerland,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,16.9,,
TUR,Turkey,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,6.9,,
GBR,United Kingdom,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,17.4,,
USA,United States,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,17.5,,
COL,Colombia,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,9.6,,
CRI,Costa Rica,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,5.1,,
EST,Estonia,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,28.3,,
ISR,Israel,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,20.1,,
LVA,Latvia,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,21.1,,
LTU,Lithuania,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,12.5,,
SVN,Slovenia,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,5,,
OAVG,OECD - Average,EMP9_5,Gender wage gap at median,ALL_PERSONS,All persons,TOTAL,Total,2014,2014,,,0,Units,,,13.9,,
